frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
10,333,504.68,234.43,1.0,704.21,445.76,1.0,368.84,489.98,1.0,760.47,724.16,0.997,352.41,769.23,0.983,805.24,962.18,0.995,350.51,1005.06,0.983,667.64,970.77,1.0,480.75,986.99,1.0,697.37,1344.75,0.999,486.43,1356.91,0.998,759.78,1663.64,0.996,519.46,1680.66,0.997,738.81,1696.08,0.897,549.44,1709.65,0.962,819.95,1824.63,0.987,488.58,1841.58,0.993,frontal,536.5236999843835,467.86644692025345,False,566.9907763835856,891.1504394561543,649.1965350901216
11,366,505.45,229.64,1.0,704.1,438.98,1.0,369.81,483.29,1.0,761.03,718.72,0.998,352.73,761.89,0.986,805.94,959.39,0.997,351.46,999.05,0.986,668.3,964.44,1.0,481.0,981.13,1.0,698.79,1338.9,0.999,482.71,1352.99,0.999,759.82,1660.35,0.996,519.43,1677.99,0.998,739.06,1692.25,0.916,549.41,1706.23,0.969,819.82,1821.91,0.988,488.36,1838.61,0.994,frontal,536.9563901849723,461.1316372709505,False,567.1535787849514,885.2017037285566,649.1642633566182
12,400,505.78,223.45,1.0,704.49,434.23,1.0,370.26,477.88,1.0,761.74,715.74,0.998,353.38,753.97,0.981,809.56,951.61,0.997,354.28,995.7,0.982,669.32,960.75,1.0,481.56,976.55,1.0,702.09,1335.53,0.999,485.77,1344.73,0.999,759.82,1657.16,0.996,519.43,1674.03,0.998,739.25,1688.35,0.922,549.35,1701.73,0.968,819.71,1818.2,0.988,488.18,1834.26,0.994,frontal,537.3766973046247,456.0553603243306,False,568.1466561708016,880.4232806873782,649.1191978230213
13,433,506.37,218.76,1.0,706.03,432.61,1.0,372.01,473.95,1.0,762.81,708.89,0.997,354.41,745.88,0.981,807.16,936.88,0.996,355.46,989.85,0.979,669.89,956.23,1.0,481.96,971.41,1.0,703.68,1331.93,0.999,486.76,1337.28,0.998,759.85,1654.2,0.995,519.39,1670.35,0.997,739.66,1684.64,0.892,549.2,1697.74,0.949,819.56,1814.03,0.986,488.01,1829.77,0.992,frontal,539.0238779014365,453.2822372816338,False,569.1618217857354,876.1011544829583,649.1063329016084
14,466,507.22,214.23,1.0,707.73,427.17,1.0,373.86,470.57,1.0,766.02,706.72,0.995,356.08,745.62,0.981,806.66,938.43,0.995,358.22,986.89,0.975,670.19,953.74,1.0,481.78,969.18,1.0,704.58,1328.04,0.998,487.94,1332.59,0.997,759.88,1651.64,0.994,519.37,1666.59,0.995,740.04,1681.4,0.865,548.94,1693.34,0.916,819.5,1811.25,0.984,488.12,1824.91,0.989,frontal,540.7983034337678,448.86977518802655,False,570.1116721701778,872.7626300404298,649.1508045530395
15,500,508.96,210.82,1.0,708.67,424.42,1.0,373.69,470.64,1.0,768.82,699.44,0.996,357.73,744.71,0.982,805.83,922.23,0.996,360.02,988.09,0.975,670.68,954.81,1.0,481.74,967.89,1.0,705.88,1327.98,0.998,489.23,1328.84,0.997,759.86,1648.92,0.995,519.39,1661.84,0.995,740.16,1678.6,0.887,548.75,1688.34,0.913,819.37,1807.72,0.989,488.23,1821.18,0.991,frontal,541.1769061457063,447.5317308979189,False,570.6785422643579,871.4687406217566,649.1291626087093
16,533,510.31,206.16,1.0,713.61,424.78,1.0,375.14,466.14,1.0,772.73,702.8,0.996,358.17,741.36,0.985,805.99,924.78,0.993,362.51,980.8,0.978,671.18,951.75,1.0,481.78,964.62,1.0,705.72,1322.72,0.998,491.71,1327.72,0.998,759.91,1645.65,0.996,519.39,1657.4,0.996,740.52,1674.86,0.9,548.55,1683.61,0.933,819.22,1803.93,0.988,488.27,1816.26,0.991,frontal,544.3720362299474,445.45961179802146,False,572.1938845730663,868.8380392978855,649.1391947676955
17,566,511.8,204.56,1.0,714.18,422.16,1.0,376.86,462.86,1.0,775.06,698.61,0.997,360.26,738.6,0.985,805.79,907.18,0.995,364.16,977.35,0.98,671.16,948.44,1.0,481.86,961.76,1.0,705.85,1319.42,0.999,493.3,1327.51,0.998,759.95,1642.31,0.996,519.4,1653.9,0.997,740.81,1671.25,0.907,548.51,1679.88,0.942,819.1,1799.9,0.988,488.31,1811.81,0.992,frontal,545.5203613139787,442.51272290366006,False,572.8783854773262,865.9678102809363,649.1799226433884
18,600,515.23,202.73,1.0,717.14,420.39,1.0,379.35,461.06,1.0,776.86,699.44,0.996,361.52,734.75,0.987,807.37,913.99,0.994,363.52,977.22,0.982,672.46,946.09,1.0,482.82,959.8,1.0,707.06,1317.83,0.999,498.64,1325.23,0.998,759.95,1638.84,0.996,519.44,1651.21,0.997,740.81,1667.85,0.91,548.55,1677.27,0.943,819.02,1794.9,0.988,488.43,1807.86,0.992,frontal,548.2440648282118,440.7283805392492,False,574.8535294399545,863.9593265489036,649.1992099839882
19,633,516.73,199.27,1.0,718.35,416.64,1.0,382.46,456.59,1.0,778.28,692.66,0.995,362.2,734.02,0.985,807.01,907.61,0.993,363.58,975.47,0.978,672.82,942.4,1.0,483.54,955.51,1.0,708.36,1317.0,0.998,500.53,1322.69,0.997,759.95,1636.23,0.995,519.48,1648.29,0.995,740.75,1665.66,0.888,548.55,1674.42,0.922,818.98,1791.51,0.986,488.73,1804.06,0.99,frontal,550.404977637796,436.6152348811146,False,576.1149610294385,860.3845615723264,649.2535280102793
20,666,519.3,195.16,1.0,718.02,416.35,1.0,383.5,454.53,1.0,779.04,680.82,0.993,361.48,726.6,0.983,807.09,888.79,0.991,362.33,964.73,0.971,673.3,940.74,1.0,484.55,953.13,1.0,709.42,1313.95,0.998,502.95,1317.04,0.997,759.95,1632.82,0.994,519.54,1645.09,0.994,740.75,1662.34,0.872,548.55,1671.18,0.909,818.93,1787.96,0.985,488.96,1800.26,0.988,frontal,550.7602647726773,435.43811899812255,False,576.7966431449722,857.7073899448909,649.2967881920191
21,700,519.32,193.05,1.0,718.53,414.41,1.0,384.98,453.93,1.0,781.82,676.96,0.995,361.66,722.38,0.981,809.48,877.73,0.992,361.55,959.33,0.972,673.23,936.86,1.0,485.31,949.13,1.0,711.64,1309.64,0.998,502.83,1313.08,0.997,760.02,1629.62,0.995,519.63,1641.61,0.995,740.89,1658.76,0.878,548.55,1667.33,0.924,818.93,1784.69,0.985,489.26,1796.22,0.99,frontal,551.7522548017682,434.16655894033477,False,577.5324193797791,854.6712809499611,649.406856866674
22,733,519.88,191.49,1.0,719.07,415.19,1.0,386.19,453.71,1.0,783.78,681.51,0.996,362.86,724.7,0.983,814.99,888.49,0.994,361.02,957.18,0.978,674.55,934.16,1.0,488.68,945.99,1.0,710.9,1304.06,0.999,503.19,1311.59,0.998,760.11,1626.39,0.997,519.69,1638.91,0.997,741.15,1656.2,0.905,548.55,1665.03,0.947,818.87,1782.45,0.99,489.31,1794.08,0.993,frontal,552.633794813741,434.45031785995053,False,578.7882831721714,853.1544008368296,649.46891446668
23,766,520.24,190.47,1.0,719.27,412.61,1.0,388.03,448.76,1.0,785.58,676.04,0.994,363.28,719.95,0.982,815.61,889.03,0.989,361.17,949.66,0.973,676.01,932.77,1.0,490.28,943.98,1.0,710.61,1301.39,0.998,502.34,1308.96,0.997,760.24,1623.4,0.995,519.79,1636.0,0.995,741.4,1653.51,0.877,548.55,1662.15,0.912,818.87,1780.25,0.988,489.76,1790.79,0.991,frontal,553.6507294084422,430.68617568226523,False,579.6939383772639,850.3050832979503,649.6451581931723
24,800,521.27,189.65,1.0,719.19,408.02,1.0,387.52,446.48,1.0,786.33,666.66,0.994,364.39,718.4,0.98,817.58,877.79,0.991,362.85,942.49,0.972,677.36,929.97,1.0,491.63,941.57,1.0,711.56,1301.86,0.998,503.31,1310.35,0.998,760.36,1620.81,0.995,519.96,1633.36,0.996,741.54,1651.07,0.887,548.56,1659.77,0.931,818.87,1778.0,0.987,490.14,1788.24,0.992,frontal,553.3558000700406,427.249580328545,False,580.3231344301986,847.7943675775699,649.7771053566661
25,833,521.85,187.85,1.0,719.89,406.46,1.0,387.67,445.59,1.0,788.6,662.28,0.992,365.39,718.53,0.98,815.89,875.77,0.988,366.49,942.56,0.968,677.49,927.97,1.0,490.8,940.12,1.0,712.08,1299.61,0.997,504.05,1307.28,0.997,760.55,1619.3,0.995,520.15,1631.63,0.995,741.92,1649.53,0.857,548.57,1658.19,0.894,818.87,1776.46,0.987,490.65,1786.08,0.989,frontal,553.7812326067792,426.0213422372202,False,580.556834874723,846.0702936136232,650.0025802146839
26,866,521.97,187.11,1.0,720.1,406.25,1.0,388.88,445.41,1.0,789.65,656.96,0.993,364.97,715.66,0.983,814.48,856.15,0.989,366.38,935.67,0.974,677.09,928.14,1.0,490.11,939.35,1.0,711.31,1301.72,0.998,505.28,1307.62,0.997,760.67,1617.74,0.995,520.36,1629.68,0.995,742.06,1647.74,0.872,548.6,1656.01,0.916,818.87,1774.78,0.986,491.14,1783.61,0.99,frontal,554.4915294741952,425.832654500509,False,580.6605721565469,845.717051625289,650.167160026093
27,900,522.06,186.9,1.0,720.29,406.37,1.0,389.38,446.63,1.0,790.13,663.13,0.995,365.16,713.43,0.98,818.01,873.0,0.993,369.33,937.03,0.972,676.45,929.19,1.0,489.79,939.81,1.0,710.88,1300.62,0.998,504.76,1304.29,0.997,760.82,1616.45,0.996,520.48,1628.03,0.996,742.33,1646.34,0.879,548.6,1654.0,0.923,818.87,1773.74,0.988,491.67,1781.87,0.991,frontal,554.8363604754901,426.50268636562396,False,580.5512055596213,845.9126823439619,650.3674277405478
28,933,522.15,186.62,1.0,721.38,406.89,1.0,390.65,445.55,1.0,789.66,668.0,0.996,366.3,709.35,0.979,820.59,885.61,0.993,368.05,931.63,0.973,676.09,927.21,1.0,489.7,938.34,1.0,708.79,1298.46,0.998,503.75,1301.21,0.998,760.89,1614.73,0.995,520.64,1626.65,0.997,742.51,1644.72,0.881,548.63,1652.63,0.936,818.86,1772.6,0.987,492.04,1780.7,0.992,frontal,556.0152523893748,426.2218338363604,False,580.6494616759135,844.6831238838897,650.509665344649
29,966,522.63,186.26,1.0,721.11,407.2,1.0,389.76,445.62,1.0,789.0,669.26,0.996,368.35,710.54,0.98,824.28,885.78,0.995,369.74,935.58,0.976,677.03,924.51,1.0,491.52,936.32,1.0,707.42,1297.26,0.998,502.47,1300.34,0.998,760.99,1613.24,0.995,520.88,1626.01,0.996,742.71,1643.65,0.878,548.67,1652.16,0.931,818.86,1771.47,0.988,492.39,1779.9,0.992,frontal,555.4370584877363,426.40603991384916,False,580.8124936945678,843.7114943172775,650.65715795132
