frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
10,333,416.59,332.94,1.0,550.36,435.5,1.0,521.32,474.41,0.999,587.97,650.85,0.998,555.73,698.78,0.065,538.28,896.59,0.99,521.05,890.19,0.069,549.04,913.77,0.999,541.89,921.24,0.997,558.77,1284.33,0.93,588.09,1262.51,0.218,616.9,1655.9,0.912,659.69,1565.65,0.317,650.59,1714.36,0.933,695.48,1600.53,0.487,466.79,1744.08,0.902,531.96,1636.43,0.476,lateral,550.3568361836824,435.5024082749167,False,552.0872104065943,671.1317347603435,558.6870654026349
11,366,417.07,326.17,1.0,544.32,434.94,1.0,516.88,469.45,0.999,608.38,650.53,0.997,571.68,693.07,0.056,568.57,898.08,0.987,540.92,886.46,0.063,545.04,919.37,0.999,541.19,926.87,0.996,553.52,1287.94,0.966,587.75,1262.96,0.259,616.24,1655.88,0.913,658.15,1565.65,0.353,650.24,1714.34,0.954,693.63,1600.69,0.575,466.65,1743.16,0.89,531.51,1636.08,0.524,lateral,544.3173343784771,434.9395404359851,False,548.2598366036165,671.1613330586214,585.5067599747747
12,400,416.09,320.55,1.0,537.38,430.7,1.0,508.9,468.28,0.998,623.12,648.45,0.998,576.18,686.92,0.066,603.19,905.47,0.991,555.19,891.12,0.074,543.65,924.35,0.998,536.55,930.33,0.994,557.63,1287.94,0.925,584.21,1262.05,0.172,616.01,1655.9,0.879,656.22,1566.34,0.233,650.09,1714.34,0.905,691.24,1602.77,0.416,466.65,1742.8,0.856,530.07,1638.89,0.395,lateral,537.3805291980093,430.7039339905185,False,544.960250168409,668.7254129485101,558.3698587822745
13,433,414.69,316.84,1.0,534.5,423.51,1.0,512.27,460.53,0.998,642.97,634.47,0.999,584.49,675.47,0.037,638.54,905.51,0.996,575.64,891.0,0.051,546.4,930.88,0.999,540.34,932.27,0.995,558.33,1287.42,0.971,582.47,1263.48,0.24,615.16,1655.9,0.911,654.97,1566.51,0.33,649.77,1714.36,0.938,689.48,1603.28,0.548,465.61,1741.92,0.883,529.36,1638.61,0.496,lateral,534.495844492809,423.5065993219602,False,545.6560978278882,664.2465091211891,601.6223989352146
14,466,413.57,316.89,1.0,530.58,421.33,1.0,514.36,460.28,0.997,653.18,621.8,0.997,606.41,663.62,0.03,672.22,873.45,0.988,609.1,867.21,0.043,548.38,929.64,0.998,542.87,931.37,0.995,558.58,1288.06,0.976,584.89,1265.43,0.295,614.42,1655.92,0.93,653.32,1568.01,0.405,649.62,1714.49,0.945,688.18,1605.12,0.579,464.73,1741.43,0.909,526.8,1640.57,0.556,lateral,530.584631854845,421.332918449536,False,545.1241312026536,662.4111078394512,582.3308214542094
15,500,412.13,313.2,1.0,524.48,413.3,1.0,514.37,450.98,0.999,656.45,604.57,0.999,613.4,638.23,0.034,695.62,834.32,0.996,615.25,836.68,0.061,551.29,924.55,0.999,546.65,923.21,0.998,555.21,1287.77,0.995,585.33,1263.63,0.474,613.69,1655.74,0.969,652.89,1567.51,0.608,649.02,1714.47,0.974,688.18,1604.31,0.726,463.73,1740.07,0.954,526.8,1640.11,0.742,lateral,524.484140716377,413.2991114610868,False,543.5353407551293,657.5114436949466,581.9347508793951
16,533,409.21,309.15,1.0,517.41,410.77,1.0,515.26,447.77,0.998,663.61,597.78,0.998,642.85,625.8,0.049,717.18,823.92,0.993,663.73,822.64,0.077,551.24,925.16,0.999,548.69,923.74,0.997,556.61,1290.38,0.992,585.82,1265.77,0.426,613.3,1655.74,0.961,650.95,1568.09,0.563,648.71,1714.45,0.973,686.06,1606.3,0.695,463.06,1738.53,0.948,526.25,1640.78,0.717,lateral,517.4103962701531,410.76615933593973,False,540.3592259811936,655.8023488348008,581.0202970804962
17,566,404.56,307.58,1.0,519.6,411.8,1.0,504.82,450.21,0.997,674.72,597.84,0.999,640.72,617.39,0.048,734.14,821.05,0.997,666.89,809.55,0.087,552.09,925.49,0.999,547.12,923.66,0.995,558.43,1289.79,0.984,581.93,1264.28,0.305,612.82,1655.66,0.938,648.89,1568.23,0.427,648.45,1714.33,0.951,684.24,1607.07,0.592,462.04,1737.3,0.925,525.65,1642.0,0.61,lateral,519.5950370002911,411.80440131762737,False,542.4265610546837,656.1406323670741,580.0963375057268
18,600,400.62,304.88,1.0,518.25,403.96,1.0,505.1,443.22,0.996,678.15,591.05,0.999,649.93,610.61,0.042,735.36,805.68,0.995,671.38,798.44,0.076,557.47,918.96,0.998,546.89,917.0,0.994,563.71,1288.64,0.98,581.26,1261.07,0.277,612.2,1655.48,0.935,647.04,1568.55,0.398,647.83,1714.07,0.944,682.66,1608.19,0.559,461.32,1735.72,0.92,523.8,1643.06,0.581,lateral,518.2499879685316,403.96410071525236,False,544.3847574297648,651.417308350764,578.9021418795109
19,633,396.52,302.18,1.0,515.21,403.87,1.0,504.08,440.2,0.996,676.29,593.25,0.999,649.0,609.29,0.047,744.86,808.35,0.997,675.75,798.28,0.09,557.5,916.31,0.999,546.04,912.51,0.994,562.13,1284.64,0.975,578.85,1256.92,0.274,611.41,1655.04,0.929,646.43,1568.34,0.37,647.24,1713.66,0.942,682.66,1607.86,0.531,460.09,1733.28,0.913,523.55,1642.66,0.555,lateral,515.2107583029394,403.87173204326075,False,542.7774011299088,651.3008720802128,578.3839547335947
20,666,391.88,299.28,1.0,517.7,403.91,1.0,506.46,442.32,0.998,673.76,600.99,0.998,653.72,622.44,0.064,739.88,816.67,0.993,692.61,813.98,0.102,564.04,912.95,0.998,550.74,910.98,0.995,562.75,1283.36,0.985,580.53,1256.17,0.345,610.6,1654.32,0.949,645.56,1568.25,0.449,646.41,1712.8,0.952,682.33,1607.86,0.602,459.19,1730.59,0.929,523.41,1642.31,0.628,lateral,517.697973784911,403.9139497077269,False,546.6852734111,651.3031879264054,577.8320643785039
21,700,388.41,297.03,1.0,514.5,400.51,1.0,509.75,433.63,0.998,665.58,600.51,0.998,640.57,618.89,0.034,712.74,827.17,0.993,659.14,818.26,0.052,568.28,914.19,0.999,563.62,911.95,0.997,565.42,1281.22,0.996,589.54,1251.49,0.427,610.12,1653.19,0.965,645.79,1567.72,0.605,645.88,1711.56,0.98,682.55,1607.64,0.76,458.47,1728.49,0.944,523.6,1641.89,0.731,lateral,514.5048107165958,400.505146045542,False,546.516387521243,648.8937805239257,577.6242729073695
22,733,385.23,294.48,1.0,511.21,400.44,1.0,509.61,435.92,0.998,661.67,600.6,0.999,635.91,627.18,0.032,703.11,845.1,0.996,655.15,826.58,0.048,573.83,909.49,0.998,579.08,908.5,0.995,564.3,1278.47,0.993,602.39,1250.69,0.287,609.82,1652.79,0.95,646.28,1567.72,0.478,645.54,1711.23,0.973,683.03,1607.72,0.687,457.8,1727.72,0.922,523.94,1641.67,0.62,lateral,511.21281332137994,400.440004508232,False,546.9725925351607,648.7455683205195,577.5763058805774
23,766,381.73,292.41,1.0,510.48,401.48,1.0,503.28,437.81,0.999,652.66,603.89,0.998,609.24,639.06,0.061,663.11,863.16,0.994,604.22,856.83,0.078,576.42,903.23,0.999,576.34,904.48,0.996,568.18,1267.34,0.966,601.11,1240.22,0.242,609.27,1651.28,0.943,646.63,1565.09,0.388,645.01,1709.82,0.957,683.22,1606.72,0.573,457.39,1726.03,0.921,524.59,1639.07,0.558,lateral,510.48114855538364,401.47621240489445,False,547.3156690402967,648.4824040985885,577.5521738414091
24,800,377.95,290.81,1.0,498.09,404.42,1.0,514.89,437.54,0.999,599.41,614.61,0.996,616.25,642.0,0.08,589.2,876.48,0.983,605.24,857.08,0.08,578.78,889.05,0.999,595.19,892.37,0.997,570.96,1256.79,0.964,603.16,1228.68,0.241,609.02,1649.35,0.94,646.68,1563.84,0.408,644.7,1707.58,0.952,683.51,1606.28,0.565,457.39,1723.69,0.926,524.87,1635.84,0.575,lateral,498.09250960746493,404.4226403537019,False,539.3388967538322,649.4940996798864,577.6193560446582
