frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
10,333,677.14,212.09,1.0,536.74,388.63,1.0,841.05,369.85,1.0,473.34,647.48,0.908,890.51,633.47,0.986,524.57,846.08,0.426,925.58,853.14,0.763,615.55,911.29,0.999,785.86,908.29,0.999,587.88,1285.64,0.983,814.08,1307.02,0.982,544.77,1659.29,0.963,876.01,1687.96,0.955,544.95,1723.88,0.97,866.01,1765.54,0.962,538.59,1663.07,0.717,903.44,1690.36,0.672,posterior,688.8972834632059,379.23926187231064,False,696.0947788611443,819.5741767979569,713.2485134517194
11,366,674.63,214.91,1.0,537.52,387.04,1.0,840.87,367.73,1.0,473.94,647.56,0.89,889.14,634.96,0.972,522.27,850.7,0.565,923.59,857.67,0.757,616.01,910.4,0.999,786.44,907.99,0.999,587.94,1284.59,0.98,815.02,1306.96,0.973,543.25,1659.29,0.959,874.15,1686.78,0.946,544.13,1723.76,0.967,864.05,1765.11,0.956,536.72,1662.66,0.709,901.44,1690.36,0.645,posterior,689.1969101684887,377.3871573712899,False,696.3462266465843,818.6470593591846,711.5848067453458
12,400,675.67,216.41,1.0,537.75,386.0,1.0,840.51,366.28,1.0,472.49,646.63,0.888,888.94,636.41,0.973,519.23,856.71,0.628,920.79,865.1,0.824,614.4,909.58,0.999,784.73,908.24,0.999,586.18,1282.05,0.965,816.05,1306.23,0.961,541.85,1659.24,0.942,871.41,1685.22,0.926,543.1,1723.3,0.952,861.62,1763.81,0.938,535.28,1661.97,0.697,898.35,1690.36,0.639,posterior,689.1291311276705,376.1420255418245,False,695.4623152635926,817.8253895400339,709.5845203847116
13,433,675.8,216.53,1.0,538.48,385.38,1.0,841.35,365.55,1.0,471.92,645.38,0.913,888.61,636.63,0.97,514.86,862.63,0.757,918.91,874.67,0.869,613.47,909.09,0.999,785.22,907.6,0.999,585.86,1280.81,0.979,815.84,1305.39,0.966,540.81,1659.21,0.964,868.15,1683.75,0.944,542.14,1722.7,0.97,859.06,1762.45,0.951,534.23,1662.22,0.758,893.9,1690.63,0.673,posterior,689.9183698595889,375.4667703136569,False,695.4489089746803,817.137688974781,707.3330726780862
14,466,676.57,218.59,1.0,539.88,383.85,1.0,842.85,365.3,1.0,469.74,640.43,0.93,890.27,635.2,0.979,505.64,864.84,0.74,923.01,879.76,0.875,614.15,908.14,0.999,785.73,907.0,0.999,586.76,1277.91,0.98,816.72,1303.63,0.976,539.12,1659.13,0.968,866.46,1682.98,0.958,540.55,1722.02,0.973,856.97,1762.29,0.963,532.22,1661.18,0.787,893.28,1690.5,0.728,posterior,691.3630550531107,374.5743807000823,False,696.1879112814105,815.9382503128912,705.7518337649276
15,500,678.79,218.8,1.0,539.34,382.22,1.0,844.06,365.67,1.0,465.28,636.16,0.925,889.97,636.5,0.974,493.22,873.18,0.76,923.99,887.08,0.861,613.9,909.23,0.999,786.26,908.27,0.999,585.59,1277.97,0.973,816.21,1303.79,0.959,537.41,1659.02,0.952,863.72,1682.4,0.928,538.32,1721.04,0.959,854.91,1760.99,0.942,531.03,1661.03,0.722,891.02,1690.92,0.635,posterior,691.7000833232594,373.9459532135153,False,695.9307801889029,816.0676085670324,703.8213433444035
16,533,680.84,220.91,1.0,538.65,382.73,1.0,844.69,365.25,1.0,461.27,636.68,0.924,889.93,634.74,0.976,477.15,883.51,0.833,925.34,889.48,0.896,612.97,910.61,0.999,784.13,909.8,0.999,584.92,1277.02,0.958,815.31,1303.76,0.965,535.61,1658.7,0.951,860.61,1680.78,0.946,535.67,1719.75,0.957,851.37,1758.85,0.947,530.89,1660.65,0.77,890.4,1690.84,0.728,posterior,691.6738916380546,373.9890589334326,False,694.9447429946117,816.4512603595557,702.0801723936805
17,566,682.92,224.15,1.0,539.09,381.54,1.0,844.41,363.97,1.0,456.08,630.5,0.946,890.09,628.92,0.986,454.71,879.41,0.828,926.93,887.5,0.898,611.95,911.41,0.999,782.02,911.18,0.999,585.43,1274.39,0.969,815.41,1303.17,0.98,533.5,1658.42,0.96,857.65,1679.46,0.966,531.9,1718.76,0.97,847.82,1756.89,0.971,530.89,1660.18,0.767,889.96,1690.77,0.765,posterior,691.7514671973705,372.75786208567865,False,694.1174864927867,815.7467241765754,700.1419434870681
18,600,683.32,227.48,1.0,539.67,380.4,1.0,844.36,362.78,1.0,452.36,621.79,0.968,890.96,621.02,0.983,437.11,873.78,0.876,927.42,883.03,0.889,611.26,912.01,0.999,781.94,912.08,0.999,585.53,1273.0,0.985,813.9,1302.01,0.986,531.5,1657.96,0.977,855.67,1677.77,0.977,529.06,1717.72,0.981,845.7,1755.22,0.979,530.15,1659.42,0.812,888.08,1690.76,0.79,posterior,692.015855637515,371.59424208744235,False,693.7371075556622,814.8229752328047,698.2464861567279
19,633,683.16,227.52,1.0,541.27,376.66,1.0,844.23,360.96,1.0,450.41,612.68,0.982,892.07,613.81,0.985,421.31,867.38,0.902,927.53,879.34,0.891,609.63,912.1,0.999,782.06,912.48,0.999,584.87,1272.95,0.983,810.86,1301.7,0.98,529.47,1657.74,0.974,851.88,1677.34,0.97,527.45,1717.61,0.98,841.48,1755.22,0.975,527.43,1658.89,0.809,886.46,1690.75,0.759,posterior,692.7499293934063,368.8130558803048,False,693.2071470489713,813.3888041603552,695.7041752020805
20,666,683.8,228.39,1.0,543.46,373.81,1.0,844.24,359.8,1.0,451.8,600.31,0.984,893.22,603.51,0.974,410.01,845.61,0.94,927.73,866.91,0.841,610.14,912.76,0.999,783.46,913.34,0.999,583.26,1273.0,0.98,808.28,1300.04,0.98,528.05,1657.39,0.978,849.96,1676.6,0.972,526.47,1717.48,0.981,838.81,1755.22,0.974,525.76,1657.48,0.854,886.08,1690.68,0.797,posterior,693.8458946630406,366.8015285835555,False,693.5849701754402,812.0938622835179,694.2775107674379
21,700,685.79,227.22,1.0,543.36,370.18,1.0,843.89,355.73,1.0,450.53,592.09,0.99,895.42,595.52,0.984,401.64,827.43,0.954,927.65,853.54,0.872,609.95,912.27,0.999,783.25,912.56,0.999,582.49,1272.53,0.982,807.46,1297.41,0.985,526.66,1656.96,0.978,848.24,1675.78,0.977,525.14,1717.12,0.982,836.85,1755.22,0.979,524.78,1656.03,0.846,886.08,1690.42,0.815,posterior,693.6244784195305,362.9509204984341,False,693.2436786568102,809.7325537059661,693.2107995509143
22,733,684.43,225.44,1.0,544.69,368.62,1.0,843.4,354.2,1.0,449.91,582.0,0.985,895.88,588.03,0.985,396.28,811.63,0.935,927.13,841.43,0.878,609.96,912.29,0.999,783.03,912.29,0.999,579.17,1272.54,0.968,804.11,1294.57,0.975,525.54,1656.64,0.969,846.34,1674.96,0.962,524.06,1716.72,0.977,835.18,1753.89,0.972,522.32,1656.34,0.83,885.56,1690.45,0.771,posterior,694.0478830577657,361.4087905568882,False,692.7187387280237,808.3295920663613,691.7780120322575
23,766,685.64,224.6,1.0,546.58,366.97,1.0,843.51,352.97,1.0,448.55,573.66,0.983,895.44,580.88,0.99,390.06,804.84,0.923,926.57,831.79,0.899,607.58,909.69,0.999,781.87,909.62,0.999,577.22,1271.84,0.972,803.9,1293.95,0.987,524.55,1656.64,0.97,844.77,1674.8,0.974,522.93,1716.6,0.978,833.98,1752.98,0.981,521.31,1656.34,0.828,884.69,1690.48,0.813,posterior,695.0452270613018,359.97075233557655,False,692.0861223431966,806.2400469645295,690.7249587600126
